Rank;Time;Name;Year;Country;Position;Race;Date;Result score
332;1:58.89;Stephen JOUBERT;07-Feb-09;RSA;1h1;UJ Stadium, Johannesburg (RSA);13-Mar-26;788
333;1:58.91;Hugo VERMEULEN;13-Aug-08;RSA;3f1;Pilditch Stadium, Pretoria (RSA);21-Feb-26;788
333;1:58.91;Ivan DU PLESSIS;10-Mar-05;RSA;11h1;Pilditch Stadium, Pretoria (RSA);13-Mar-26;788
335;1:58.98;Leander SMIT;;RSA;7f1;Pilditch Stadium, Pretoria (RSA);14-Feb-26;786
336;1:59.00;Henrico KRUGER;;RSA;4;McArthur Stadium, Potchefstroom (RSA);17-Mar-26;785
337;1:59.04;Benkosi MAQWARA;27-Apr-07;RSA;2f1;Germiston Stadium, Johannesburg (RSA);07-Feb-26;784
338;1:59.07;Rogene WARD;20-May-09;RSA;2;Pilditch Stadium, Pretoria (RSA);28-Jan-26;784
338;1:59.07;Alex VAN DER WERF;;RSA;5;Hoërskool Stadium, Stellenbosch (RSA);18-Feb-26;784
340;1:59.09;Nalu XHINTHI;23-Mar-12;RSA;4;Pilditch Stadium, Pretoria (RSA);13-Mar-26;783
341;1:59.11;Aj THYSSEN;;RSA;10f3;Hoërskool Stadium, Stellenbosch (RSA);06-Mar-26;783
342;1:59.13;Phillip JACOBS;;RSA;2h1;UJ Stadium, Johannesburg (RSA);13-Mar-26;782
343;1:59.15;Ernst ENGELBRECHT;;RSA;6;Hoërskool Stadium, Stellenbosch (RSA);18-Feb-26;782
343;1:59.15;Jelano TITUS;;RSA;7f2;Hoërskool Stadium, Stellenbosch (RSA);06-Mar-26;782
343;1:59.15;Sinethemba MUNYAI;12-Jun-09;RSA;3h1;UJ Stadium, Johannesburg (RSA);13-Mar-26;782
343;1:59.15;Mpumelelo KOZANA;26-Jul-06;RSA;2h2;UJ Stadium, Johannesburg (RSA);13-Mar-26;782
347;1:59.16;Liam ENDRES;;RSA;1;UJ Stadium, Johannesburg (RSA);14-Mar-26;781
348;1:59.17;Nicolas VREY;04-Sept-06;RSA;3;Hoërskool Stadium, Stellenbosch (RSA);11-Feb-26;781
348;1:59.17;Hannu VAN ZYL;25-Apr-09;RSA;4h3;Pilditch Stadium, Pretoria (RSA);13-Mar-26;781
350;1:59.19;Boikarabelo RAPHELA;17-Jun-08;RSA;6h1;Pilditch Stadium, Pretoria (RSA);13-Mar-26;781
351;1:59.20;Ruan Louis HARMSE;10-Mar-07;RSA;5;McArthur Stadium, Potchefstroom (RSA);14-Mar-26;780
352;1:59.22;Zeca TIBANA;06-Dec-08;RSA;5h2;Pilditch Stadium, Pretoria (RSA);13-Mar-26;780
353;1:59.23;Kevin HICKLEY;15-Dec-05;RSA;2;McArthur Stadium, Potchefstroom (RSA);10-Feb-26;780
354;1:59.26;Junior NEWTON;11-May-09;RSA;6h1;Pilditch Stadium, Pretoria (RSA);13-Mar-26;779
355;1:59.31;Janco MEYER;12-Aug-08;RSA;10;Pilditch Stadium, Pretoria (RSA);13-Mar-26;778
