Rank;Time;Name;Year;Country;Position;Race;Date;Result score
92;1:52.37;Leonardo VAN DER WERF;16-Jun-05;RSA;4;Hoërskool Stadium, Stellenbosch (RSA);18-Feb-26;959
93;1:52.43;Marceghlle WAKEFIELD;08-Jan-07;RSA;1;McArthur Stadium, Potchefstroom (RSA);17-Mar-26;958
94;1:52.49;Kabelo MOHOLOBELA;12-Feb-00;RSA;1f2;Germiston Stadium, Johannesburg (RSA);31-Jan-26;956
95;1:52.51;Brandon JOUBERT;14-Dec-06;RSA;5h1;Pilditch Stadium, Pretoria (RSA);13-Mar-26;956
96;1:52.53;Modimo Oratile MASHIGO;11-Oct-06;RSA;2;UJ Stadium, Johannesburg (RSA);14-Mar-26;955
97;1:52.55;Dirk WIJNBEEK;19-Nov-03;RSA;4h3;Pilditch Stadium, Pretoria (RSA);13-Mar-26;955
98;1:52.60;Mpho CHABA;15-Jan-06;RSA;3;UJ Stadium, Johannesburg (RSA);14-Mar-26;953
99;1:52.61;Brandon JOUBERT;14-Dec-06;RSA;2f1;Pilditch Stadium, Pretoria (RSA);21-Feb-26;953
100;1:52.65;Ruandrè VIVIERS;13-Mar-08;RSA;2;Pilditch Stadium, Pretoria (RSA);28-Jan-26;952
101;1:52.66;Nhlakanipho NYAMBI;02-Dec-03;RSA;2f3;Germiston Stadium, Johannesburg (RSA);14-Feb-26;951
102;1:52.70;Dirk WIJNBEEK;19-Nov-03;RSA;1;Pilditch Stadium, Pretoria (RSA);17-Jan-26;950
103;1:52.74;Itumeleng MOTLHAJWA;27-Mar-09;RSA;4;Pilditch Stadium, Pretoria (RSA);13-Mar-26;949
104;1:52.76;Maxime CHAUMETON;12-Jul-00;RSA;2f1;Germiston Stadium, Johannesburg (RSA);31-Jan-26;949
104;1:52.76;William DOMISSE;01-Sept-99;RSA;8f3;Hoërskool Stadium, Stellenbosch (RSA);06-Mar-26;949
106;1:52.85;Boikanyo MOTLHAMME;11-Aug-95;RSA;1f1;Germiston Stadium, Johannesburg (RSA);07-Feb-26;946
107;1:52.92;Sanele MSOMI;17-Dec-98;RSA;4;UJ Stadium, Johannesburg (RSA);14-Mar-26;944
108;1:52.95;Matthew ENDRÖDY;11-Apr-05;RSA;1h1;Reno Livestock Events Center, Reno, NV (USA) (i);27-Feb-26;996
109;1:52.96;Marcel BRITS;04-Dec-07;RSA;2;Pilditch Stadium, Pretoria (RSA);13-Mar-26;943
110;1:52.99;Tshegofatso MODISELLE;16-Aug-03;RSA;6h1;Pilditch Stadium, Pretoria (RSA);13-Mar-26;942
111;1:53.00;Tumelo Nelson LERUMO;03-Aug-03;RSA;1h1;UJ Stadium, Johannesburg (RSA);13-Mar-26;942
112;1:53.01;Xavier VAN DER LEEK;21-Jul-06;RSA;1;McArthur Stadium, Potchefstroom (RSA);14-Mar-26;942
113;1:53.04;Sisanda NTULI;14-Mar-06;RSA;6h2;Pilditch Stadium, Pretoria (RSA);13-Mar-26;941
114;1:53.07;Jaden DE WET;15-Jun-05;RSA;2;Pilditch Stadium, Pretoria (RSA);17-Jan-26;940
115;1:53.13;Sihle MAHLANGU;17-Aug-06;RSA;2f4;Park West Ath. Complex, San Antonio, TX (USA);21-Mar-26;939
116;1:53.19;Johannes LOUW;08-Apr-08;RSA;3;Pilditch Stadium, Pretoria (RSA);28-Jan-26;937
117;1:53.20;Johannes LOUW;08-Apr-08;RSA;2;Pilditch Stadium, Pretoria (RSA);14-Feb-26;937
118;1:53.21;Matthew ENDRÖDY;11-Apr-05;RSA;1f1;Reno Livestock Events Center, Reno, NV (USA) (i);28-Feb-26;989
119;1:53.31;Sipho NDLOVU;05-Dec-00;RSA;7h1;Pilditch Stadium, Pretoria (RSA);13-Mar-26;934
120;1:53.32;Jesse SIMPSON;;RSA;3;Pilditch Stadium, Pretoria (RSA);14-Feb-26;933
121;1:53.36;Marcel BRITS;04-Dec-07;RSA;4;Pilditch Stadium, Pretoria (RSA);14-Feb-26;932
122;1:53.39;Dawson SAMBO;11-Feb-10;RSA;5;Pilditch Stadium, Pretoria (RSA);13-Mar-26;932
123;1:53.40;Chris DU PLESSIS;31-May-00;RSA;3;Pilditch Stadium, Pretoria (RSA);17-Jan-26;931
124;1:53.60;Werner GOUWS;14-Jul-07;RSA;1;McArthur Stadium, Potchefstroom (RSA);14-Mar-26;926
125;1:53.63;Corné DE FOUW;05-May-05;RSA;1f3;Germiston Stadium, Johannesburg (RSA);07-Feb-26;925
126;1:53.64;Lethabo SIMANGO;07-Mar-05;RSA;8h1;Pilditch Stadium, Pretoria (RSA);13-Mar-26;925
127;1:53.68;Akho NGESI;18-Sept-05;RSA;3f1;Pilditch Stadium, Pretoria (RSA);21-Feb-26;924
128;1:53.70;Nhlakanipho NYAMBI;02-Dec-03;RSA;2h1;UJ Stadium, Johannesburg (RSA);13-Mar-26;923
129;1:53.73;Modimo Oratile MASHIGO;11-Oct-06;RSA;3f1;Germiston Stadium, Johannesburg (RSA);28-Feb-26;922
130;1:53.74;Andy MUNNIK;14-Jul-03;RSA;6f1;University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA);20-Mar-26;922
131;1:53.75;Mpho CHABA;15-Jan-06;RSA;2f3;Germiston Stadium, Johannesburg (RSA);07-Feb-26;922
132;1:53.84;Yiva ZINYANE;16-Dec-04;RSA;1f2;McArthur Stadium, Potchefstroom (RSA);17-Mar-26;919
133;1:53.92;Rofhiwa Rollen SITELELE;03-Jan-96;RSA;4;Pilditch Stadium, Pretoria (RSA);17-Jan-26;917
134;1:53.96;Titus TEMA;21-Aug-02;RSA;5;Pilditch Stadium, Pretoria (RSA);17-Jan-26;916
134;1:53.96;Andrew VAN WYK;18-Jan-09;RSA;1;Hoërskool Stadium, Stellenbosch (RSA);18-Feb-26;916
136;1:53.97;Michael BEKKER;18-Jan-09;RSA;1f2;Germiston Stadium, Johannesburg (RSA);28-Feb-26;916
137;1:53.99;Werno PRETORIUS;16-Dec-08;RSA;5;Pilditch Stadium, Pretoria (RSA);14-Feb-26;915
137;1:53.99;Christiaan BRITS;30-Jun-10;RSA;6;Pilditch Stadium, Pretoria (RSA);13-Mar-26;915
139;1:54.02;Lethabo SIMANGO;07-Mar-05;RSA;10f3;Pilditch Stadium, Pretoria (RSA);28-Feb-26;915
140;1:54.04;Sipho NDLOVU;05-Dec-00;RSA;2f1;Pilditch Stadium, Pretoria (RSA);28-Feb-26;914
141;1:54.11;Leehandre ROBERTSON;30-Nov-99;RSA;1f2;Hoërskool Stadium, Stellenbosch (RSA);06-Mar-26;912
142;1:54.14;Leonardo VAN DER WERF;16-Jun-05;RSA;10;Germiston Stadium, Johannesburg (RSA);28-Mar-26;911
143;1:54.15;Werno PRETORIUS;16-Dec-08;RSA;1f2;Germiston Stadium, Johannesburg (RSA);28-Feb-26;911
143;1:54.15;Daniel RICHTER;08-Aug-07;RSA;3;Pilditch Stadium, Pretoria (RSA);13-Mar-26;911
145;1:54.23;Nicolas VREY;04-Sept-06;RSA;1;Hoërskool Stadium, Stellenbosch (RSA);18-Feb-26;909
146;1:54.26;Marceghlle WAKEFIELD;08-Jan-07;RSA;1;McArthur Stadium, Potchefstroom (RSA);24-Feb-26;908
147;1:54.44;Yiva ZINYANE;16-Dec-04;RSA;1f4;Germiston Stadium, Johannesburg (RSA);31-Jan-26;903
148;1:54.46;Nhlakanipho NYAMBI;02-Dec-03;RSA;5;UJ Stadium, Johannesburg (RSA);14-Mar-26;903
149;1:54.48;Tshegofatso MODISELLE;16-Aug-03;RSA;3f1;Pilditch Stadium, Pretoria (RSA);28-Feb-26;902
150;1:54.50;Sisanda NTULI;14-Mar-06;RSA;11f3;Pilditch Stadium, Pretoria (RSA);28-Feb-26;902
151;1:54.52;Ian VAN HEERDEN;14-Sept-04;RSA;2f1;Germiston Stadium, Johannesburg (RSA);07-Feb-26;901
152;1:54.54;Ruandrè VIVIERS;13-Mar-08;RSA;6;Pilditch Stadium, Pretoria (RSA);14-Feb-26;901
153;1:54.55;Zian BRENKMAN;25-Jun-08;RSA;4;Pilditch Stadium, Pretoria (RSA);13-Mar-26;900
154;1:54.56;Sanele MSOMI;17-Dec-98;RSA;1f1;Germiston Stadium, Johannesburg (RSA);14-Feb-26;900
155;1:54.62;Adivhaho MUTHELO;30-Jun-03;RSA;5h3;Pilditch Stadium, Pretoria (RSA);13-Mar-26;898
156;1:54.69;Johan STADLER;13-Aug-00;RSA;9f3;Hoërskool Stadium, Stellenbosch (RSA);06-Mar-26;897
157;1:54.72;Josh MESSINA;05-Feb-06;RSA;6f3;GVSU Kelly Family Sports Cente, Allendale, MI (USA) (i);13-Feb-26;896
158;1:54.78;Damian BRITZ;22-May-05;RSA;2;Hoërskool Stadium, Stellenbosch (RSA);18-Feb-26;894
159;1:54.87;Joshua YOUNG;27-Feb-07;RSA;7;Pilditch Stadium, Pretoria (RSA);14-Feb-26;892
160;1:54.88;Sibusiso Calvin MSIBI;16-May-04;RSA;4f1;Pilditch Stadium, Pretoria (RSA);28-Feb-26;892
161;1:54.89;Lorenzo ZIMRY;25-Apr-02;RSA;6;Hoërskool Stadium, Stellenbosch (RSA);18-Feb-26;891
161;1:54.89;Nicolas VREY;04-Sept-06;RSA;3f2;Hoërskool Stadium, Stellenbosch (RSA);06-Mar-26;891
163;1:54.95;Phillip VAN TONDER;03-Aug-09;RSA;2;Hoërskool Stadium, Stellenbosch (RSA);18-Feb-26;890
164;1:55.02;Luan DE VILLIERS;30-Jun-08;RSA;5;Pilditch Stadium, Pretoria (RSA);13-Mar-26;888
165;1:55.07;Louis Jacobus SMIT;;RSA;1;McArthur Stadium, Potchefstroom (RSA);03-Mar-26;886
165;1:55.07;Mpho CHABA;15-Jan-06;RSA;1h4;UJ Stadium, Johannesburg (RSA);13-Mar-26;886
167;1:55.11;Knowledge NYATHI;10-Nov-01;RSA;2h4;UJ Stadium, Johannesburg (RSA);13-Mar-26;885
168;1:55.12;Mark LESTER;;RSA;8;Pilditch Stadium, Pretoria (RSA);14-Feb-26;885
169;1:55.21;Mzwakhe MASHABA;20-Dec-02;RSA;3f3;Germiston Stadium, Johannesburg (RSA);07-Feb-26;883
169;1:55.21;Olerato MASILOANE;01-Apr-09;RSA;1f1;Pilditch Stadium, Pretoria (RSA);21-Feb-26;883
171;1:55.22;Emile BLANCHE;06-Apr-10;RSA;7;Pilditch Stadium, Pretoria (RSA);13-Mar-26;882
171;1:55.22;James NCUBE;07-Jul-04;RSA;7h2;Pilditch Stadium, Pretoria (RSA);13-Mar-26;882
173;1:55.25;Banele MKHABELA;10-Oct-01;RSA;3f2;University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA);20-Mar-26;882
174;1:55.26;Itumelang NGXABAZI;04-Jan-02;RSA;2f6;Emporia St. Francis G. Welch Stadium, Emporia, KS (USA);27-Mar-26;881
175;1:55.29;Ruan PATON;09-Mar-09;RSA;8;Pilditch Stadium, Pretoria (RSA);13-Mar-26;881
176;1:55.39;Akho NGESI;18-Sept-05;RSA;6h3;Pilditch Stadium, Pretoria (RSA);13-Mar-26;878
177;1:55.48;Ntsako NTLEMO;14-Nov-09;RSA;9;Pilditch Stadium, Pretoria (RSA);13-Mar-26;876
178;1:55.56;Lambert BRINK;08-Oct-97;RSA;7;Hoërskool Stadium, Stellenbosch (RSA);18-Feb-26;874
179;1:55.59;Tiisetso MALUNGANE;15-Jan-10;RSA;1h1;Pilditch Stadium, Pretoria (RSA);13-Mar-26;873
180;1:55.62;Josh MESSINA;05-Feb-06;RSA;3f3;Irwin Belk TF Center, Charlotte, NC (USA);21-Mar-26;872
181;1:55.63;Kgethego MATLOU;28-Jul-08;RSA;6;Pilditch Stadium, Pretoria (RSA);13-Mar-26;872
182;1:55.64;Breyton DE BRUIN;21-Mar-09;RSA;3;Hoërskool Stadium, Stellenbosch (RSA);18-Feb-26;871
183;1:55.66;Louis Jacobus SMIT;;RSA;1;McArthur Stadium, Potchefstroom (RSA);10-Feb-26;871
184;1:55.68;Johan KOEN;10-Jun-00;RSA;8;Hoërskool Stadium, Stellenbosch (RSA);18-Feb-26;870
185;1:55.69;Emile ELS;08-Jan-09;RSA;2h1;Pilditch Stadium, Pretoria (RSA);13-Mar-26;870
186;1:55.70;Kgethego MATLOU;28-Jul-08;RSA;9;Pilditch Stadium, Pretoria (RSA);14-Feb-26;870
186;1:55.70;Mpho CHABA;15-Jan-06;RSA;1f4;Germiston Stadium, Johannesburg (RSA);14-Feb-26;870
188;1:55.77;Mantle TSEHLANA;11-Dec-11;RSA;1;Pilditch Stadium, Pretoria (RSA);13-Mar-26;868
189;1:55.79;Joshua YOUNG;27-Feb-07;RSA;7;Pilditch Stadium, Pretoria (RSA);13-Mar-26;867
190;1:55.82;Christiaan FRANKEN;03-Oct-07;RSA;1h1;Pilditch Stadium, Pretoria (RSA);13-Mar-26;867
191;1:55.83;Mofana Vincent MOSIKILI;13-Aug-02;RSA;2;McArthur Stadium, Potchefstroom (RSA);24-Feb-26;866
192;1:55.84;Tharollo MAJA;31-Jul-04;RSA;1f2;Germiston Stadium, Johannesburg (RSA);07-Feb-26;866
193;1:55.87;Modimo Oratile MASHIGO;11-Oct-06;RSA;2h3;UJ Stadium, Johannesburg (RSA);13-Mar-26;865
194;1:55.91;Sipho NDLOVU;05-Dec-00;RSA;2f4;Germiston Stadium, Johannesburg (RSA);14-Feb-26;864
195;1:55.98;Eduard VAN DRIEL;14-Apr-06;RSA;12f3;Pilditch Stadium, Pretoria (RSA);28-Feb-26;863
196;1:56.04;Damian BRITZ;22-May-05;RSA;2;Hoërskool Stadium, Stellenbosch (RSA);11-Feb-26;861
197;1:56.05;BK RAPHELA;;RSA;10;Pilditch Stadium, Pretoria (RSA);14-Feb-26;861
197;1:56.05;Xolisa NDARA;07-Jan-08;RSA;8;Pilditch Stadium, Pretoria (RSA);13-Mar-26;861
199;1:56.10;Griffiths MANYEDI;14-Oct-05;RSA;6;UJ Stadium, Johannesburg (RSA);14-Mar-26;859
200;1:56.11;Josh MESSINA;05-Feb-06;RSA;1f2;JDL Fast Track, Winston Salem, NC (USA) (i);17-Jan-26;909
200;1:56.11;Sinethemba MUNYAI;12-Jun-09;RSA;1;UJ Stadium, Johannesburg (RSA);14-Mar-26;859
202;1:56.12;Amantle MODINGWANE;;RSA;1;Mosier Indoor Facility, Norman, OK (USA) (i);16-Jan-26;909
203;1:56.14;Thabang HAJANE;09-Sept-05;RSA;3f1;Germiston Stadium, Johannesburg (RSA);31-Jan-26;858
204;1:56.19;Dawson SAMBO;11-Feb-10;RSA;1f2;Pilditch Stadium, Pretoria (RSA);21-Feb-26;857
205;1:56.23;Luan DE VILLIERS;30-Jun-08;RSA;2h1;Pilditch Stadium, Pretoria (RSA);13-Mar-26;856
206;1:56.25;Sipho NDLOVU;05-Dec-00;RSA;5f1;Pilditch Stadium, Pretoria (RSA);21-Feb-26;855
206;1:56.25;Tharollo MAJA;31-Jul-04;RSA;1f3;Germiston Stadium, Johannesburg (RSA);28-Feb-26;855
206;1:56.25;Liam Benade VAN NIEKERK;15-May-08;RSA;3;UJ Stadium, Johannesburg (RSA);14-Mar-26;855
209;1:56.28;Déan FOURIE;04-Oct-07;RSA;1;Pilditch Stadium, Pretoria (RSA);17-Jan-26;855
209;1:56.28;Samuel HAYNES;;RSA;2;McArthur Stadium, Potchefstroom (RSA);14-Mar-26;855
211;1:56.29;Louis Jacobus SMIT;;RSA;1;McArthur Stadium, Potchefstroom (RSA);24-Feb-26;854
212;1:56.30;Tharollo MAJA;31-Jul-04;RSA;2f2;Germiston Stadium, Johannesburg (RSA);31-Jan-26;854
213;1:56.31;Itumeleng MOTLHAJWA;27-Mar-09;RSA;1f1;Pilditch Stadium, Pretoria (RSA);14-Feb-26;854
213;1:56.31;Mpho CHABA;15-Jan-06;RSA;4f1;Germiston Stadium, Johannesburg (RSA);28-Feb-26;854
215;1:56.35;Ntsako NTLEMO;14-Nov-09;RSA;2f2;Pilditch Stadium, Pretoria (RSA);21-Feb-26;853
216;1:56.36;Xavier METTLER;06-Jan-06;RSA;7;UJ Stadium, Johannesburg (RSA);14-Mar-26;853
217;1:56.39;Mzwakhe MASHABA;20-Dec-02;RSA;4f1;Germiston Stadium, Johannesburg (RSA);31-Jan-26;852
217;1:56.39;Jason VERMEULEN;22-Mar-03;RSA;4f1;Germiston Stadium, Johannesburg (RSA);31-Jan-26;852
219;1:56.41;Daniel RICHTER;08-Aug-07;RSA;1;Pilditch Stadium, Pretoria (RSA);28-Feb-26;851
220;1:56.45;Griffiths MANYEDI;14-Oct-05;RSA;3h3;UJ Stadium, Johannesburg (RSA);13-Mar-26;850
221;1:56.47;Dawson SAMBO;11-Feb-10;RSA;1h2;Pilditch Stadium, Pretoria (RSA);13-Mar-26;850
222;1:56.48;Xavier METTLER;06-Jan-06;RSA;2f3;Germiston Stadium, Johannesburg (RSA);28-Feb-26;849
223;1:56.50;Evans MAVUNDA;11-Feb-04;RSA;3f4;Germiston Stadium, Johannesburg (RSA);14-Feb-26;849
223;1:56.50;Joshua YOUNG;27-Feb-07;RSA;3h1;Pilditch Stadium, Pretoria (RSA);13-Mar-26;849
225;1:56.53;Thabang HAJANE;09-Sept-05;RSA;3f1;Germiston Stadium, Johannesburg (RSA);07-Feb-26;848
226;1:56.55;Nj DE KLERK;30-Nov-10;RSA;1f3;Germiston Stadium, Johannesburg (RSA);28-Feb-26;848
227;1:56.58;Kwazi NGOZO;08-May-08;RSA;2f2;Germiston Stadium, Johannesburg (RSA);28-Feb-26;847
228;1:56.59;Samkelo Lesedi MBESA;15-Mar-06;RSA;8h2;Pilditch Stadium, Pretoria (RSA);13-Mar-26;847
229;1:56.60;Titus TEMA;21-Aug-02;RSA;7f2;Pilditch Stadium, Pretoria (RSA);21-Feb-26;846
229;1:56.60;Eduard VAN DRIEL;14-Apr-06;RSA;9h1;Pilditch Stadium, Pretoria (RSA);13-Mar-26;846
231;1:56.65;Nelson Katleho KHITSANE;13-Nov-02;RSA;6f1;Germiston Stadium, Johannesburg (RSA);31-Jan-26;845
232;1:56.69;Itumeleng MOTLHAJWA;27-Mar-09;RSA;3h1;Pilditch Stadium, Pretoria (RSA);13-Mar-26;844
233;1:56.71;Adivhaho MUTHELO;30-Jun-03;RSA;6;Pilditch Stadium, Pretoria (RSA);17-Jan-26;844
234;1:56.75;Mark LESTER;;RSA;4f2;Hoërskool Stadium, Stellenbosch (RSA);06-Mar-26;842
235;1:56.77;Emile BLANCHE;06-Apr-10;RSA;2f1;Pilditch Stadium, Pretoria (RSA);14-Feb-26;842
236;1:56.78;Siyabonga MBATHA;20-May-04;RSA;7f2;University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA);20-Mar-26;842
237;1:56.79;Zian BRENKMAN;25-Jun-08;RSA;4h1;Pilditch Stadium, Pretoria (RSA);13-Mar-26;841
238;1:56.82;Nj DE KLERK;30-Nov-10;RSA;2;UJ Stadium, Johannesburg (RSA);14-Mar-26;841
239;1:56.83;Aushwin-Leigh JANTJIES;;RSA;1;Hoërskool Stadium, Stellenbosch (RSA);11-Feb-26;840
240;1:56.84;Xavier METTLER;06-Jan-06;RSA;8f2;Pilditch Stadium, Pretoria (RSA);21-Feb-26;840
240;1:56.84;Mofana Vincent MOSIKILI;13-Aug-02;RSA;2f2;McArthur Stadium, Potchefstroom (RSA);17-Mar-26;840
242;1:56.87;Emile BLANCHE;06-Apr-10;RSA;2h2;Pilditch Stadium, Pretoria (RSA);13-Mar-26;839
243;1:56.94;Godwil MATHEBULA;05-Jan-08;RSA;1f1;Germiston Stadium, Johannesburg (RSA);28-Feb-26;838
243;1:56.94;Daniel CONRADIE;;RSA;5f2;Hoërskool Stadium, Stellenbosch (RSA);06-Mar-26;838
245;1:56.97;Marcel BRITS;04-Dec-07;RSA;6f1;Pilditch Stadium, Pretoria (RSA);21-Feb-26;837
245;1:56.97;Marceghlle WAKEFIELD;08-Jan-07;RSA;2;McArthur Stadium, Potchefstroom (RSA);14-Mar-26;837
247;1:56.98;Christiaan BRITS;30-Jun-10;RSA;3f1;Pilditch Stadium, Pretoria (RSA);14-Feb-26;837
248;1:57.02;Quintin MBUYANE;15-Aug-06;RSA;10h1;Pilditch Stadium, Pretoria (RSA);13-Mar-26;836
249;1:57.07;Kgethego MATLOU;28-Jul-08;RSA;5h1;Pilditch Stadium, Pretoria (RSA);13-Mar-26;834
250;1:57.08;Sibonokuhle THWALA;;RSA;9f5;Robert W. Plaster Center, Pittsburg, KS (USA) (i);14-Feb-26;834
250;1:57.08;Zammy MOYO;16-Aug-07;RSA;4;UJ Stadium, Johannesburg (RSA);14-Mar-26;834
252;1:57.09;Lambert BRINK;08-Oct-97;RSA;4;Hoërskool Stadium, Stellenbosch (RSA);11-Feb-26;834
253;1:57.10;Xavier METTLER;06-Jan-06;RSA;1h2;UJ Stadium, Johannesburg (RSA);13-Mar-26;833
254;1:57.12;Tihalefang MOKASI;29-Sept-07;RSA;3f2;Germiston Stadium, Johannesburg (RSA);28-Feb-26;833
255;1:57.13;Déan FOURIE;04-Oct-07;RSA;3f2;Pilditch Stadium, Pretoria (RSA);21-Feb-26;833
256;1:57.19;Ntsako NTLEMO;14-Nov-09;RSA;4h1;Pilditch Stadium, Pretoria (RSA);13-Mar-26;831
257;1:57.21;Lefa KWANELE;05-May-04;RSA;3f3;Germiston Stadium, Johannesburg (RSA);28-Feb-26;831
257;1:57.21;Willem KRUGER;;RSA;3;McArthur Stadium, Potchefstroom (RSA);17-Mar-26;831
259;1:57.22;Joshua YOUNG;27-Feb-07;RSA;2;Pilditch Stadium, Pretoria (RSA);28-Feb-26;830
259;1:57.22;Lefa KWANELE;05-May-04;RSA;3h4;UJ Stadium, Johannesburg (RSA);13-Mar-26;830
261;1:57.26;Jason VERMEULEN;22-Mar-03;RSA;4h3;UJ Stadium, Johannesburg (RSA);13-Mar-26;829
262;1:57.28;Olerato MASILOANE;01-Apr-09;RSA;1h3;Pilditch Stadium, Pretoria (RSA);13-Mar-26;829
263;1:57.29;Thabiso MATSEKE;28-Oct-09;RSA;4f1;Pilditch Stadium, Pretoria (RSA);14-Feb-26;829
264;1:57.32;Lambert BRINK;08-Oct-97;RSA;6f2;Hoërskool Stadium, Stellenbosch (RSA);06-Mar-26;828
264;1:57.32;Janco MEYER;12-Aug-08;RSA;1h2;Pilditch Stadium, Pretoria (RSA);13-Mar-26;828
264;1:57.32;Marcel BRITS;04-Dec-07;RSA;2h2;Pilditch Stadium, Pretoria (RSA);13-Mar-26;828
267;1:57.33;Chrisner GOUWS;18-Aug-09;RSA;3h2;Pilditch Stadium, Pretoria (RSA);13-Mar-26;828
268;1:57.34;Tshepho FUTHANA;13-Jan-03;RSA;9f2;Pilditch Stadium, Pretoria (RSA);21-Feb-26;827
269;1:57.36;Zenzi RAADT;;RSA;3;UJ Stadium, Johannesburg (RSA);14-Mar-26;827
270;1:57.37;Juandre DE BRUIN;08-Aug-03;RSA;4h4;UJ Stadium, Johannesburg (RSA);13-Mar-26;827
270;1:57.37;Boitshepo MASHILO;03-Jan-02;RSA;11f1;Paul Derr TF Facility, Raleigh, NC (USA);28-Mar-26;827
272;1:57.42;Ruan PATON;09-Mar-09;RSA;1;Pilditch Stadium, Pretoria (RSA);28-Jan-26;825
272;1:57.42;Boikanyo MOTLHAJWA;01-Aug-05;RSA;9h2;Pilditch Stadium, Pretoria (RSA);13-Mar-26;825
274;1:57.46;Atlegang KEGAKILWE;26-Sept-07;RSA;3;McArthur Stadium, Potchefstroom (RSA);14-Mar-26;824
275;1:57.56;Don KASIGWA;05-Jul-00;RSA;6f3;Washburn Indoor Athletic Facility, Topeka, KS (USA) (i);31-Jan-26;871
276;1:57.57;Nelson Katleho KHITSANE;13-Nov-02;RSA;1f2;Germiston Stadium, Johannesburg (RSA);14-Feb-26;821
277;1:57.58;Christiaan BRITS;30-Jun-10;RSA;2h3;Pilditch Stadium, Pretoria (RSA);13-Mar-26;821
278;1:57.59;Pehatrick WITBOOI;16-Jul-08;RSA;1f1;Hoërskool Stadium, Stellenbosch (RSA);06-Mar-26;821
279;1:57.60;Wian NOLTE;02-Nov-07;RSA;3;Pilditch Stadium, Pretoria (RSA);28-Feb-26;821
279;1:57.60;Pule SHAMASE;;RSA;2;Pilditch Stadium, Pretoria (RSA);13-Mar-26;821
281;1:57.61;Janco MEYER;12-Aug-08;RSA;2;Pilditch Stadium, Pretoria (RSA);17-Jan-26;820
281;1:57.61;Kevin HICKLEY;15-Dec-05;RSA;7f1;Germiston Stadium, Johannesburg (RSA);31-Jan-26;820
